+,"BIBLExMAN","TangSu&igrave;&#156;&iexcl;","TEEDOG16","Mama Duck","JW","Whale","jinsooo","mesq","@YoungJefe&acirc;&#132;&cent;","Peachy&euml;&deg;&deg;","BenE","Bulbafett &atilde;&#131;&#132;","Eternyte","LunarDarkness","La'Taniana'Bo'Vanashrique Jones","jung","btiger8","BOT EZ","Flux","Kosonati","The Dank Knight","apL csgoroll.com","Bobby B","One Tap Man","Wloos","ProSnake117","Fly1ngF1sh","Who's Zed","Ghost1y","CoolChowlo","Iceman &acirc;&#156;&#136; assembly language dev","ma name is chilly","BezeeR","HellaSack","Nash","Moogs","Fox","PriNcE -SaiyajiN-","mango","bad reg high ping no mic"
"BIBLExMAN",,0.18181818181818182,0.0,0.375,0.0,0.375,0.4444444444444444,0.3333333333333333,0.5,0.3333333333333333,0.0,0,0.4,0.5,0.5,0.35714285714285715,0.3333333333333333,1.0,0.25,0.2857142857142857,0.5,0.0,0.0,0.0,0.5,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0
"TangSu&igrave;&#156;&iexcl;",0.7272727272727273,,0.5,0.6666666666666666,0.5,0.7142857142857143,0.5,0.6428571428571429,0.625,0.5384615384615384,1.0,0,0.7142857142857143,0.4,0,0.3333333333333333,0,1.0,1.0,0,1.0,0,0,0.75,1.0,1.0,0,0,0,1.0,0,0.0,0,0,0,0,0,0.6666666666666666,0,0
"TEEDOG16",1.0,0.5,,0.75,1.0,0.8,0.5,0.5714285714285714,0.5,0.42857142857142855,1.0,0,0.5,0.5,0.0,0.0,0,0,0,0,0,0,0,0.3333333333333333,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,0
"Mama Duck",0.375,0.26666666666666666,0.25,,0.25,0.6,0.4166666666666667,0.4,0.42857142857142855,0.2777777777777778,0.0,0,0.2727272727272727,0.42857142857142855,0.5,0.2222222222222222,0.3333333333333333,0,0.25,0.0,0.0,0,0.0,0.5,0.5,0.5,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.6666666666666666,0,0
"JW",1.0,0.5,0.0,0.75,,0.8,0.75,0.8571428571428571,0.5,0.5,1.0,0,0.5,0.5,0,0.6,0,0,1.0,0,1.0,0,0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,0,0,0,0,0,0,0,1.0,1.0
"Whale",0.375,0.2857142857142857,0.2,0.2,0.2,,0.4,0.36363636363636365,0.2,0.3157894736842105,0.0,0.0,0.375,0.4,0.0,0.6666666666666666,0,1.0,1.0,1.0,0.5,0,0,0.75,0.5,0.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.3333333333333333,1.0,1.0
"jinsooo",0.3333333333333333,0.5,0.5,0.5833333333333334,0.25,0.6,,0.6666666666666666,0.5833333333333334,0.3333333333333333,0.0,0.5,0.6,0.8,0.5,0.45454545454545453,1.0,0,0.6666666666666666,0.3333333333333333,0.0,0,0,1.0,0.6666666666666666,0.0,0,0.0,0.0,0.5,0.0,0.3333333333333333,1.0,0,0,0,0.0,0.5,1.0,1.0
"mesq",0.6666666666666666,0.2857142857142857,0.42857142857142855,0.6,0.14285714285714285,0.5454545454545454,0.3333333333333333,,0.5454545454545454,0.42857142857142855,0,0,0.6,0.5833333333333334,0.5,0.36363636363636365,0.0,1.0,0.6666666666666666,0.3333333333333333,0.6,0.0,0.0,0.5,0.6666666666666666,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0.6666666666666666,1.0,1.0
"@YoungJefe&acirc;&#132;&cent;",0.375,0.375,0.5,0.42857142857142855,0.5,0.7,0.25,0.45454545454545453,,0.2727272727272727,0.5,0.0,0.2857142857142857,0.375,0,0.4166666666666667,0,0,0.25,0.0,0.5,0,0,0.3333333333333333,0.3333333333333333,1.0,0,0.0,1.0,0.3333333333333333,0.5,0.0,0,0,0,0,0,0.5,0,0
"Peachy&euml;&deg;&deg;",0.5,0.38461538461538464,0.5714285714285714,0.6111111111111112,0.5,0.5263157894736842,0.4444444444444444,0.5714285714285714,0.6363636363636364,,1.0,1.0,0.5,0.7777777777777778,1.0,0.4166666666666667,0.5,0,0.25,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,1.0,0,0,0.0,0,0.5,0,0.25,1.0,0,0,0.0,0,1.0,1.0,1.0
"BenE",0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0.5,0.0,,0,0.5,1.0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bulbafett &atilde;&#131;&#132;",0,0,0,0,0,1.0,0.5,0,1.0,0.0,0,,0.0,0.0,0.5,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
